Date,Channel,Campaign Name,Ad Set Name,Ad Name,CPC,Spend,Impressions,Clicks,Conversions,Reach
2024-07-26,Facebook,Brand Awareness,Set D,Ad 5,1.01,203.12,10462,128,94,9595
2024-07-26,LinkedIn,Holiday Sale,Set A,Ad 5,1.68,286.63,1715,190,22,1440
2024-07-26,TikTok,Holiday Sale,Set D,Ad 4,0.71,295.76,2020,138,17,11945
2024-07-26,Instagram,Holiday Sale,Set A,Ad 2,1.14,160.47,11985,589,74,646
2024-07-26,X,Holiday Sale,Set C,Ad 2,1.18,242.5,8717,260,51,6267
2024-07-26,Google Organic,Brand Awareness,Set A,Ad 1,1.05,51.31,4382,350,48,9360
2024-07-27,Google,Back to School,Set C,Ad 3,0.98,42.32,8162,413,28,5876
2024-07-27,Facebook,Brand Awareness,Set D,Ad 5,0.86,46.44,11196,61,51,2180
2024-07-27,LinkedIn,Summer Promo,Set D,Ad 1,1.71,106.15,11934,139,17,3481
2024-07-27,TikTok,Summer Promo,Set D,Ad 3,1.91,64.3,6871,501,43,6716
2024-07-27,Instagram,Summer Promo,Set B,Ad 4,1.54,277.76,4778,97,38,545
2024-07-27,X,Retargeting,Set A,Ad 5,0.57,204.61,14095,358,76,8098
2024-07-27,Google Organic,Back to School,Set D,Ad 2,1.15,34.81,1309,168,86,8996
2024-07-28,Google,Back to School,Set C,Ad 3,1.88,120.07,13659,239,60,9504
2024-07-28,Facebook,Summer Promo,Set B,Ad 3,1.31,183.55,10752,297,18,7905
2024-07-28,LinkedIn,Holiday Sale,Set A,Ad 3,0.91,226.08,13343,221,37,2979
2024-07-28,TikTok,Brand Awareness,Set C,Ad 3,1.41,256.97,4597,283,55,7432
2024-07-28,Instagram,Summer Promo,Set A,Ad 3,1.24,208.72,6498,76,55,5442
2024-07-28,X,Holiday Sale,Set C,Ad 2,1.73,202.89,7305,270,94,4224
2024-07-28,Google Organic,Brand Awareness,Set C,Ad 3,0.51,211.22,14917,165,80,11972
2024-07-29,Google,Back to School,Set C,Ad 1,0.8,30.65,9137,469,41,9726
2024-07-29,Facebook,Summer Promo,Set D,Ad 1,0.76,104.6,10360,306,50,10641
2024-07-29,LinkedIn,Retargeting,Set B,Ad 4,1.43,140.72,2512,546,28,663
2024-07-29,TikTok,Summer Promo,Set D,Ad 2,1.75,204.33,7931,504,77,851
2024-07-29,Instagram,Holiday Sale,Set A,Ad 1,0.95,216.19,12875,274,64,7544
2024-07-29,X,Brand Awareness,Set D,Ad 3,1.32,80.72,10433,64,54,11360
2024-07-29,Google Organic,Summer Promo,Set D,Ad 1,1.94,94.39,2165,108,79,8519
2024-07-30,Google,Back to School,Set C,Ad 2,1.03,102.07,8748,357,26,8241
2024-07-30,Facebook,Retargeting,Set D,Ad 3,1.07,195.99,5654,188,54,7205
2024-07-30,LinkedIn,Brand Awareness,Set A,Ad 1,1.67,60.81,14077,147,70,4460
2024-07-30,TikTok,Summer Promo,Set C,Ad 2,0.73,39.08,1824,256,16,10854
2024-07-30,Instagram,Retargeting,Set A,Ad 3,1.11,214.12,1278,317,21,6479
2024-07-30,X,Holiday Sale,Set C,Ad 4,1.09,298.82,2334,225,53,11389
2024-07-30,Google Organic,Retargeting,Set A,Ad 3,1.72,281.81,10603,173,23,8295
2024-07-31,Google,Brand Awareness,Set A,Ad 1,1.1,227.26,10092,398,21,7975
2024-07-31,Facebook,Back to School,Set C,Ad 5,0.57,290.06,7577,247,90,6073
2024-07-31,LinkedIn,Back to School,Set C,Ad 3,1.06,98.14,2605,342,12,6393
2024-07-31,TikTok,Summer Promo,Set B,Ad 5,0.89,220.0,11523,380,59,7212
2024-07-31,Instagram,Summer Promo,Set A,Ad 3,0.87,123.56,5017,427,91,11801
2024-07-31,X,Retargeting,Set A,Ad 1,0.64,77.1,12886,162,81,8536
2024-07-31,Google Organic,Holiday Sale,Set B,Ad 2,1.81,123.65,13990,524,50,5465
2024-08-01,Google,Summer Promo,Set A,Ad 1,1.3,40.23,14862,474,18,2898
2024-08-01,Facebook,Back to School,Set B,Ad 2,1.34,119.72,1200,187,68,2907
2024-08-01,LinkedIn,Brand Awareness,Set C,Ad 4,1.9,73.67,3794,588,27,6523
2024-08-01,TikTok,Back to School,Set A,Ad 4,1.62,77.31,3032,305,91,9304
2024-08-01,Instagram,Holiday Sale,Set B,Ad 4,0.83,25.96,4465,420,48,8513
2024-08-01,X,Brand Awareness,Set D,Ad 4,0.5,287.12,14191,390,38,3811
2024-08-01,Google Organic,Brand Awareness,Set B,Ad 5,1.5,166.65,14903,564,68,813
2024-08-02,Google,Brand Awareness,Set D,Ad 4,0.61,103.78,7313,70,56,7858
2024-08-02,Facebook,Holiday Sale,Set C,Ad 4,1.64,96.4,3710,162,24,2753
2024-08-02,LinkedIn,Holiday Sale,Set B,Ad 5,0.94,29.37,7149,557,100,10176
2024-08-02,TikTok,Summer Promo,Set A,Ad 4,1.75,134.6,9423,96,32,6794
2024-08-02,Instagram,Retargeting,Set B,Ad 3,0.82,133.05,9494,335,98,11972
2024-08-02,X,Holiday Sale,Set D,Ad 4,1.75,212.83,2865,555,67,3209
2024-08-02,Google Organic,Summer Promo,Set D,Ad 5,0.54,150.18,8027,182,62,5653
2024-08-03,Google,Retargeting,Set B,Ad 4,0.74,196.57,1409,509,37,11735
2024-08-03,Facebook,Retargeting,Set A,Ad 4,1.3,126.3,3236,109,50,1588
2024-08-03,LinkedIn,Back to School,Set D,Ad 5,1.18,43.01,12290,323,78,10706
2024-08-03,TikTok,Retargeting,Set C,Ad 4,1.22,182.18,7486,165,13,9025
2024-08-03,Instagram,Back to School,Set C,Ad 1,0.53,125.29,7300,566,54,8632
2024-08-03,X,Summer Promo,Set D,Ad 3,0.54,60.19,1475,282,82,5142
2024-08-03,Google Organic,Back to School,Set D,Ad 4,0.52,272.68,2053,138,50,2276
2024-08-04,Google,Summer Promo,Set B,Ad 5,0.68,63.58,14409,125,89,10025
2024-08-04,Facebook,Retargeting,Set D,Ad 5,0.97,199.22,11866,418,94,6812
2024-08-04,LinkedIn,Summer Promo,Set D,Ad 4,0.67,69.49,2300,590,98,5958
2024-08-04,TikTok,Summer Promo,Set C,Ad 5,0.76,203.46,4599,493,79,2459
2024-08-04,Instagram,Holiday Sale,Set B,Ad 1,0.97,54.8,6510,90,11,4338
2024-08-04,X,Summer Promo,Set A,Ad 1,1.16,231.89,11678,348,40,3296
2024-08-04,Google Organic,Brand Awareness,Set B,Ad 3,0.57,225.99,5914,214,25,8559
2024-08-05,Google,Holiday Sale,Set A,Ad 1,0.74,262.38,12824,239,89,7820
2024-08-05,Facebook,Retargeting,Set B,Ad 3,1.6,38.51,14849,439,81,10526
2024-08-05,LinkedIn,Back to School,Set D,Ad 2,1.3,196.46,2881,530,91,11209
2024-08-05,TikTok,Retargeting,Set B,Ad 3,0.9,87.02,9131,320,50,9371
2024-08-05,Instagram,Retargeting,Set D,Ad 5,1.34,185.66,4361,75,82,9515
2024-08-05,X,Holiday Sale,Set C,Ad 5,0.52,259.41,7579,64,71,11545
2024-08-05,Google Organic,Brand Awareness,Set D,Ad 4,1.66,87.99,2428,426,26,5939
2024-08-06,Google,Brand Awareness,Set A,Ad 2,0.93,126.61,2663,207,56,5695
2024-08-06,Facebook,Back to School,Set B,Ad 2,0.64,154.28,11105,431,41,9864
2024-08-06,LinkedIn,Holiday Sale,Set C,Ad 1,0.68,176.47,4444,337,21,1959
2024-08-06,TikTok,Retargeting,Set D,Ad 1,1.93,212.78,13101,416,34,4894
2024-08-06,Instagram,Back to School,Set C,Ad 4,0.67,198.53,9706,364,23,5156
2024-08-06,X,Brand Awareness,Set C,Ad 5,1.09,252.51,13741,231,40,10090
2024-08-06,Google Organic,Holiday Sale,Set B,Ad 2,0.65,194.17,10876,377,71,7704
2024-08-07,Google,Holiday Sale,Set C,Ad 4,1.19,239.73,13247,243,38,11749
2024-08-07,Facebook,Brand Awareness,Set D,Ad 3,1.51,163.0,14608,180,56,7270
2024-08-07,LinkedIn,Holiday Sale,Set A,Ad 2,0.98,199.7,12182,529,55,10653
2024-08-07,TikTok,Retargeting,Set C,Ad 4,0.99,58.72,8802,207,61,8757
2024-08-07,Instagram,Summer Promo,Set A,Ad 2,1.65,77.96,10594,534,54,2464
2024-08-07,X,Brand Awareness,Set C,Ad 2,1.54,232.27,3374,51,87,11369
2024-08-07,Google Organic,Brand Awareness,Set B,Ad 5,1.9,224.54,2973,384,46,2799
2024-08-08,Google,Retargeting,Set D,Ad 5,1.38,223.52,11920,196,10,4122
2024-08-08,Facebook,Retargeting,Set A,Ad 4,1.77,196.44,5658,55,53,11546
2024-08-08,LinkedIn,Retargeting,Set B,Ad 2,1.87,134.21,13538,367,82,8275
2024-08-08,TikTok,Retargeting,Set B,Ad 1,1.57,258.97,1030,157,46,4827
2024-08-08,Instagram,Summer Promo,Set D,Ad 2,1.2,256.98,12780,600,55,5970
2024-08-08,X,Back to School,Set B,Ad 3,1.43,77.09,7701,194,12,3534
2024-08-08,Google Organic,Holiday Sale,Set D,Ad 5,1.83,83.56,6114,229,95,7004
2024-08-09,Google,Holiday Sale,Set A,Ad 1,1.91,96.77,8339,112,52,6697
2024-08-09,Facebook,Back to School,Set C,Ad 4,1.27,61.15,10065,512,23,4529
2024-08-09,LinkedIn,Retargeting,Set D,Ad 3,0.52,177.38,4067,269,21,8248
2024-08-09,TikTok,Brand Awareness,Set A,Ad 3,1.95,54.74,1824,133,39,1996
2024-08-09,Instagram,Brand Awareness,Set D,Ad 1,0.64,85.79,9230,211,95,6889
2024-08-09,X,Retargeting,Set D,Ad 2,0.95,188.37,14602,460,18,9735
2024-08-09,Google Organic,Holiday Sale,Set B,Ad 4,1.77,25.89,2130,469,82,5296
2024-08-10,Google,Holiday Sale,Set C,Ad 2,1.84,60.83,4214,148,85,9457
2024-08-10,Facebook,Back to School,Set D,Ad 2,0.59,119.06,8201,500,41,3890
2024-08-10,LinkedIn,Summer Promo,Set C,Ad 4,1.07,34.14,7385,353,81,8299
2024-08-10,TikTok,Retargeting,Set C,Ad 5,1.25,167.61,1877,488,27,3781
2024-08-10,Instagram,Back to School,Set C,Ad 2,0.67,214.69,2640,315,27,6117
2024-08-10,X,Holiday Sale,Set D,Ad 3,1.22,255.14,7280,494,29,11312
2024-08-10,Google Organic,Brand Awareness,Set A,Ad 3,1.62,134.54,4066,419,47,11827
2024-08-11,Google,Retargeting,Set B,Ad 1,0.63,42.52,7401,288,69,7643
2024-08-11,Facebook,Holiday Sale,Set A,Ad 3,1.58,96.58,6445,389,26,3277
2024-08-11,LinkedIn,Brand Awareness,Set C,Ad 2,1.77,120.29,2498,512,67,5134
2024-08-11,TikTok,Back to School,Set D,Ad 3,0.71,140.48,2583,581,64,4882
2024-08-11,Instagram,Brand Awareness,Set C,Ad 5,1.74,212.59,14310,187,76,6609
2024-08-11,X,Holiday Sale,Set B,Ad 1,0.98,225.67,5860,190,33,7548
2024-08-11,Google Organic,Back to School,Set B,Ad 1,0.72,188.65,2675,356,91,7966
2024-08-12,Google,Back to School,Set D,Ad 3,1.12,64.49,13173,113,27,10723
2024-08-12,Facebook,Holiday Sale,Set D,Ad 4,1.64,82.53,5248,382,67,9383
2024-08-12,LinkedIn,Summer Promo,Set B,Ad 5,0.52,27.57,6187,385,51,2769
2024-08-12,TikTok,Holiday Sale,Set A,Ad 4,1.37,87.68,5962,192,74,11620
2024-08-12,Instagram,Retargeting,Set C,Ad 3,1.0,269.24,8310,382,98,4088
2024-08-12,X,Retargeting,Set B,Ad 3,1.22,232.29,13921,382,88,8981
2024-08-12,Google Organic,Brand Awareness,Set A,Ad 2,1.21,102.84,5310,386,45,11903
2024-08-13,Google,Brand Awareness,Set B,Ad 1,1.33,175.65,13019,326,14,6389
2024-08-13,Facebook,Brand Awareness,Set C,Ad 3,0.66,92.9,9960,587,17,811
2024-08-13,LinkedIn,Holiday Sale,Set B,Ad 2,1.69,210.18,3008,99,40,5489
2024-08-13,TikTok,Back to School,Set D,Ad 5,1.25,132.47,8948,415,12,4946
2024-08-13,Instagram,Holiday Sale,Set A,Ad 2,1.16,125.31,14809,230,66,6803
2024-08-13,X,Holiday Sale,Set D,Ad 2,1.4,232.07,7547,473,53,5167
2024-08-13,Google Organic,Holiday Sale,Set C,Ad 3,1.26,223.84,14438,484,44,7983
2024-08-14,Google,Retargeting,Set C,Ad 5,0.81,45.1,4626,114,73,6801
2024-08-14,Facebook,Retargeting,Set D,Ad 1,1.22,231.5,8502,249,75,3696
2024-08-14,LinkedIn,Retargeting,Set C,Ad 5,1.95,20.37,10838,455,67,4930
2024-08-14,TikTok,Back to School,Set B,Ad 5,1.45,253.63,5310,520,70,2097
2024-08-14,Instagram,Retargeting,Set D,Ad 2,0.89,266.21,9404,66,81,4409
2024-08-14,X,Holiday Sale,Set A,Ad 1,1.8,183.78,7584,411,76,5455
2024-08-14,Google Organic,Back to School,Set C,Ad 1,0.92,162.4,9026,223,51,8242
2024-08-15,Google,Summer Promo,Set B,Ad 5,1.46,291.48,4215,469,75,4987
2024-08-15,Facebook,Brand Awareness,Set B,Ad 1,0.85,147.91,2666,536,6,3473
2024-08-15,LinkedIn,Holiday Sale,Set C,Ad 5,1.8,36.69,12374,153,95,6613
2024-08-15,TikTok,Brand Awareness,Set C,Ad 3,0.97,139.65,14990,403,97,8945
2024-08-15,Instagram,Back to School,Set C,Ad 3,1.11,118.24,10682,413,25,11674
2024-08-15,X,Brand Awareness,Set B,Ad 5,1.67,133.64,6580,196,7,5145
2024-08-15,Google Organic,Brand Awareness,Set A,Ad 3,1.72,30.07,12650,67,23,3926
2024-08-16,Google,Summer Promo,Set B,Ad 1,0.58,234.57,3014,373,71,11992
2024-08-16,Facebook,Summer Promo,Set C,Ad 4,0.62,223.46,7667,368,74,10290
2024-08-16,LinkedIn,Holiday Sale,Set D,Ad 3,0.99,202.65,9478,384,30,9348
2024-08-16,TikTok,Retargeting,Set B,Ad 4,1.85,51.21,5428,247,28,2679
2024-08-16,Instagram,Brand Awareness,Set B,Ad 4,1.21,264.04,2748,67,93,9008
2024-08-16,X,Retargeting,Set B,Ad 5,1.13,295.16,2673,138,43,5884
2024-08-16,Google Organic,Holiday Sale,Set A,Ad 3,1.46,100.5,2386,248,91,9390
2024-08-17,Google,Holiday Sale,Set D,Ad 4,1.48,227.76,2488,396,20,10118
2024-08-17,Facebook,Retargeting,Set A,Ad 1,0.82,292.46,12376,370,81,8835
2024-08-17,LinkedIn,Back to School,Set D,Ad 5,1.48,58.66,8038,568,30,5259
2024-08-17,TikTok,Retargeting,Set B,Ad 5,0.7,251.91,12133,529,35,4154
2024-08-17,Instagram,Summer Promo,Set C,Ad 5,1.94,225.28,9396,461,15,837
2024-08-17,X,Retargeting,Set D,Ad 3,0.87,211.41,11355,206,9,5455
2024-08-17,Google Organic,Retargeting,Set B,Ad 4,1.77,240.57,12688,274,13,5752
2024-08-18,Google,Back to School,Set A,Ad 1,1.55,78.97,13023,465,13,6463
2024-08-18,Facebook,Summer Promo,Set D,Ad 3,1.2,240.82,10593,103,8,3073
2024-08-18,LinkedIn,Back to School,Set D,Ad 1,1.21,154.67,5881,65,82,3680
2024-08-18,TikTok,Retargeting,Set B,Ad 4,0.79,194.0,1877,577,91,8721
2024-08-18,Instagram,Summer Promo,Set D,Ad 3,1.84,175.51,6948,551,62,7891
2024-08-18,X,Retargeting,Set A,Ad 3,1.96,218.07,11477,288,46,2148
2024-08-18,Google Organic,Retargeting,Set C,Ad 1,1.57,188.17,2364,77,81,5626
2024-08-19,Google,Brand Awareness,Set D,Ad 1,1.57,246.15,9887,328,53,10111
2024-08-19,Facebook,Holiday Sale,Set A,Ad 3,0.7,266.05,9606,532,99,8385
2024-08-19,LinkedIn,Brand Awareness,Set D,Ad 4,1.46,291.98,12897,584,39,5990
2024-08-19,TikTok,Brand Awareness,Set C,Ad 3,1.57,134.71,3334,245,6,6551
2024-08-19,Instagram,Brand Awareness,Set C,Ad 3,1.27,63.73,9354,68,32,7766
2024-08-19,X,Brand Awareness,Set A,Ad 1,0.91,193.1,12191,243,84,4410
2024-08-19,Google Organic,Holiday Sale,Set B,Ad 4,0.81,82.55,6543,251,80,11288
2024-08-20,Google,Brand Awareness,Set D,Ad 1,0.68,111.51,13055,189,5,1660
2024-08-20,Facebook,Holiday Sale,Set B,Ad 2,1.46,88.04,9271,162,33,11324
2024-08-20,LinkedIn,Back to School,Set C,Ad 2,1.09,200.47,3099,575,52,7495
2024-08-20,TikTok,Back to School,Set A,Ad 5,1.71,125.1,2239,398,23,8786
2024-08-20,Instagram,Retargeting,Set B,Ad 4,1.77,278.5,6801,584,83,5209
2024-08-20,X,Back to School,Set B,Ad 3,1.33,234.73,13508,56,72,4922
2024-08-20,Google Organic,Back to School,Set A,Ad 1,1.33,165.63,8111,229,18,9044
2024-08-21,Google,Summer Promo,Set B,Ad 2,1.63,175.48,5338,526,90,2309
2024-08-21,Facebook,Holiday Sale,Set C,Ad 3,1.23,70.48,8134,134,100,6069
2024-08-21,LinkedIn,Back to School,Set C,Ad 2,1.53,287.47,12486,209,6,1195
2024-08-21,TikTok,Back to School,Set A,Ad 5,1.47,223.02,5227,57,69,5913
2024-08-21,Instagram,Retargeting,Set D,Ad 5,0.9,294.67,13909,388,77,10008
2024-08-21,X,Back to School,Set A,Ad 1,1.91,269.17,10036,437,5,10583
2024-08-21,Google Organic,Back to School,Set D,Ad 1,1.26,284.53,5969,592,16,3856
2024-08-22,Google,Brand Awareness,Set C,Ad 1,1.63,246.52,7960,353,11,9257
2024-08-22,Facebook,Brand Awareness,Set A,Ad 4,1.95,250.65,10281,375,34,10914
2024-08-22,LinkedIn,Retargeting,Set A,Ad 3,1.06,119.0,14960,480,88,3846
2024-08-22,TikTok,Brand Awareness,Set C,Ad 1,0.72,279.88,1556,357,39,8562
2024-08-22,Instagram,Brand Awareness,Set C,Ad 2,0.57,25.14,5226,467,19,10686
2024-08-22,X,Summer Promo,Set D,Ad 1,1.64,224.3,3682,580,87,10918
2024-08-22,Google Organic,Brand Awareness,Set A,Ad 5,0.88,270.25,5341,578,11,1804
2024-08-23,Google,Brand Awareness,Set B,Ad 5,0.98,288.07,5473,244,22,10120
2024-08-23,Facebook,Retargeting,Set C,Ad 4,1.0,76.84,13785,449,67,5716
2024-08-23,LinkedIn,Retargeting,Set D,Ad 1,1.94,135.22,13478,462,92,7924
2024-08-23,TikTok,Brand Awareness,Set A,Ad 5,1.98,91.79,6792,593,85,5274
2024-08-23,Instagram,Back to School,Set B,Ad 2,1.45,205.13,3591,403,25,6917
2024-08-23,X,Holiday Sale,Set A,Ad 2,1.03,22.4,13370,151,37,8829
2024-08-23,Google Organic,Back to School,Set D,Ad 5,1.9,83.56,9922,300,37,9080
2024-08-24,Google,Holiday Sale,Set C,Ad 4,1.68,270.45,11535,335,89,7953
2024-08-24,Facebook,Summer Promo,Set D,Ad 4,1.01,198.06,13992,135,39,10526
2024-08-24,LinkedIn,Holiday Sale,Set D,Ad 4,1.48,202.06,12196,235,8,9602
2024-08-24,TikTok,Retargeting,Set A,Ad 1,1.91,104.76,1556,515,24,11023
2024-08-24,Instagram,Holiday Sale,Set A,Ad 4,0.97,234.43,9844,436,71,4505
2024-08-24,X,Summer Promo,Set C,Ad 3,1.78,207.42,3081,390,37,3490
2024-08-24,Google Organic,Brand Awareness,Set C,Ad 4,1.84,119.05,1470,169,28,11696
2024-08-25,Google,Brand Awareness,Set A,Ad 5,1.25,299.53,2401,136,33,6376
2024-08-25,Facebook,Retargeting,Set B,Ad 4,0.98,74.24,1707,471,86,2596
2024-08-25,LinkedIn,Holiday Sale,Set D,Ad 5,1.68,140.47,9376,365,52,679
2024-08-25,TikTok,Holiday Sale,Set D,Ad 2,0.94,43.31,7598,489,52,5496
2024-08-25,Instagram,Holiday Sale,Set C,Ad 3,0.98,126.07,2874,358,62,11936
2024-08-25,X,Brand Awareness,Set B,Ad 4,1.52,146.19,13408,141,36,1502
2024-08-25,Google Organic,Summer Promo,Set B,Ad 1,0.85,104.76,7242,152,64,3352
2024-08-26,Google,Brand Awareness,Set C,Ad 4,0.53,134.58,5644,456,98,8182
2024-08-26,Facebook,Summer Promo,Set B,Ad 5,1.11,188.88,3737,244,76,10017
2024-08-26,LinkedIn,Back to School,Set D,Ad 1,0.74,225.04,3009,424,10,9583
2024-08-26,TikTok,Retargeting,Set B,Ad 3,0.93,96.18,2656,395,73,5405
2024-08-26,Instagram,Back to School,Set B,Ad 5,1.41,264.83,3847,96,66,6513
2024-08-26,X,Back to School,Set A,Ad 3,0.67,80.06,11873,377,88,2825
2024-08-26,Google Organic,Holiday Sale,Set D,Ad 3,0.97,166.69,4759,208,35,4013
2024-08-27,Google,Summer Promo,Set C,Ad 1,0.81,190.64,6649,81,35,8950
2024-08-27,Facebook,Brand Awareness,Set A,Ad 4,1.11,83.8,10829,145,73,3414
2024-08-27,LinkedIn,Summer Promo,Set A,Ad 1,1.48,299.49,10583,65,64,5168
2024-08-27,TikTok,Brand Awareness,Set A,Ad 5,1.21,299.43,12877,345,74,953
2024-08-27,Instagram,Holiday Sale,Set B,Ad 5,0.93,190.13,11326,75,81,10553
2024-08-27,X,Holiday Sale,Set A,Ad 3,1.18,253.4,11511,492,41,9223
2024-08-27,Google Organic,Brand Awareness,Set C,Ad 3,1.04,116.9,7514,171,20,8881
2024-08-28,Google,Back to School,Set D,Ad 4,1.58,275.78,10194,300,69,10693
2024-08-28,Facebook,Holiday Sale,Set B,Ad 3,0.82,219.64,3805,480,74,5651
2024-08-28,LinkedIn,Summer Promo,Set B,Ad 1,1.66,129.12,9474,450,77,3034
2024-08-28,TikTok,Summer Promo,Set A,Ad 2,1.57,31.89,6800,387,98,11041
2024-08-28,Instagram,Brand Awareness,Set D,Ad 4,1.25,168.66,4176,259,27,9835
2024-08-28,X,Summer Promo,Set D,Ad 1,1.21,58.47,6823,257,41,4572
2024-08-28,Google Organic,Back to School,Set D,Ad 1,1.3,240.49,10911,577,45,5592
2024-08-29,Google,Brand Awareness,Set A,Ad 5,0.52,45.23,13072,369,57,3857
2024-08-29,Facebook,Brand Awareness,Set B,Ad 3,1.79,241.43,6476,521,52,3043
2024-08-29,LinkedIn,Back to School,Set D,Ad 4,1.01,42.15,10897,241,34,4856
2024-08-29,TikTok,Back to School,Set D,Ad 5,1.14,180.84,5742,207,89,11926
2024-08-29,Instagram,Brand Awareness,Set C,Ad 4,1.74,186.12,9920,141,7,1811
2024-08-29,X,Brand Awareness,Set C,Ad 5,1.55,284.98,12059,182,12,3176
2024-08-29,Google Organic,Summer Promo,Set C,Ad 4,0.98,299.05,9242,279,49,1286
2024-08-30,Google,Back to School,Set B,Ad 5,1.05,250.58,5769,127,69,5181
2024-08-30,Facebook,Back to School,Set C,Ad 4,1.67,53.85,11830,335,81,10289
2024-08-30,LinkedIn,Back to School,Set C,Ad 2,0.57,281.99,11151,533,41,9632
2024-08-30,TikTok,Back to School,Set B,Ad 2,1.68,127.16,12895,72,65,3090
2024-08-30,Instagram,Summer Promo,Set B,Ad 1,1.72,184.33,13307,362,47,3025
2024-08-30,X,Brand Awareness,Set A,Ad 2,1.82,251.23,7830,102,22,2962
2024-08-30,Google Organic,Summer Promo,Set A,Ad 3,0.68,170.41,4789,573,75,2582
2024-08-31,Google,Holiday Sale,Set B,Ad 1,1.45,85.03,13762,499,76,9508
2024-08-31,Facebook,Holiday Sale,Set D,Ad 5,1.91,187.23,12113,551,48,10637
2024-08-31,LinkedIn,Summer Promo,Set B,Ad 3,0.53,55.51,6420,284,64,3532
2024-08-31,TikTok,Brand Awareness,Set C,Ad 3,1.66,181.08,7314,286,22,3213
2024-08-31,Instagram,Retargeting,Set B,Ad 5,0.75,166.64,13648,61,43,11995
2024-08-31,X,Summer Promo,Set A,Ad 1,0.78,297.74,10691,577,57,951
2024-08-31,Google Organic,Back to School,Set B,Ad 4,0.88,260.41,8742,253,92,3872
2024-09-01,Google,Holiday Sale,Set C,Ad 5,1.99,76.67,6470,75,12,976
2024-09-01,Facebook,Holiday Sale,Set B,Ad 2,0.97,258.91,6007,277,55,8644
2024-09-01,LinkedIn,Brand Awareness,Set D,Ad 4,1.04,149.74,12778,373,33,1760
2024-09-01,TikTok,Retargeting,Set B,Ad 4,0.54,88.49,7218,119,71,11163
