Date,Country,City,Sessions,Users,Pageviews,BounceRate,AvgSessionDuration,Source,Medium,Device,Browser
2025-04-28,USA,Los Angeles,599,503,1756,0.49,65,tiktok,organic,Desktop,Chrome
2025-04-28,Australia,Sydney,429,790,2026,0.67,150,direct,cpc,Tablet,Opera
2025-04-28,Canada,Toronto,612,377,2640,0.55,283,facebook,referral,Desktop,Opera
2025-04-28,Canada,Toronto,896,294,1564,0.55,299,tiktok,referral,Tablet,Opera
2025-04-28,France,Paris,954,519,1431,0.69,147,facebook,cpc,Desktop,Brave
2025-04-28,Canada,Toronto,850,355,1654,0.37,180,facebook,social,Mobile,Brave
2025-04-28,Brazil,São Paulo,754,868,1274,0.32,168,google,cpc,Desktop,Firefox
2025-04-28,South Africa,Cape Town,416,630,1217,0.55,199,email,email,Tablet,Opera
2025-04-28,Canada,Toronto,608,627,2441,0.32,161,instagram,cpc,Mobile,Firefox
2025-04-28,South Africa,Cape Town,466,735,2636,0.35,162,tiktok,cpc,Desktop,Brave
2025-04-27,USA,Los Angeles,322,463,1807,0.57,246,tiktok,referral,Mobile,Opera
2025-04-27,India,Mumbai,661,486,1678,0.55,246,instagram,cpc,Tablet,Brave
2025-04-27,Australia,Sydney,887,881,1341,0.45,112,email,cpc,Mobile,Firefox
2025-04-27,USA,Los Angeles,862,723,2237,0.58,258,google,organic,Tablet,Brave
2025-04-27,Brazil,São Paulo,450,759,1212,0.46,172,facebook,social,Desktop,Safari
2025-04-27,Australia,Sydney,668,547,1938,0.48,137,linkedin,referral,Desktop,Edge
2025-04-27,UK,London,821,569,1473,0.34,203,tiktok,referral,Mobile,Chrome
2025-04-27,Canada,Toronto,410,362,1589,0.65,160,direct,cpc,Mobile,Opera
2025-04-27,Germany,Berlin,372,849,1406,0.48,73,email,cpc,Desktop,Safari
2025-04-27,USA,Los Angeles,632,414,1989,0.62,217,tiktok,referral,Desktop,Opera
2025-04-26,Canada,Toronto,694,331,1217,0.62,145,facebook,organic,Desktop,Safari
2025-04-26,Canada,Toronto,305,474,1673,0.43,251,direct,cpc,Desktop,Opera
2025-04-26,South Africa,Cape Town,855,417,2709,0.65,63,tiktok,referral,Desktop,Firefox
2025-04-26,Brazil,São Paulo,733,671,2148,0.5,183,instagram,organic,Tablet,Brave
2025-04-26,Canada,Toronto,785,374,1224,0.49,133,instagram,organic,Tablet,Chrome
2025-04-26,Brazil,São Paulo,461,477,1220,0.36,146,google,email,Tablet,Firefox
2025-04-26,Brazil,São Paulo,300,560,2129,0.58,257,facebook,referral,Desktop,Chrome
2025-04-26,Canada,Toronto,478,562,2269,0.47,237,facebook,organic,Tablet,Safari
2025-04-26,South Africa,Cape Town,939,553,2803,0.51,95,tiktok,organic,Tablet,Edge
2025-04-26,Australia,Sydney,603,850,2026,0.34,209,facebook,organic,Tablet,Opera
2025-04-25,Australia,Sydney,662,399,2793,0.48,243,tiktok,social,Mobile,Edge
2025-04-25,Germany,Berlin,898,602,2364,0.46,268,email,organic,Tablet,Brave
2025-04-25,France,Paris,775,549,2901,0.36,131,linkedin,referral,Mobile,Brave
2025-04-25,India,Mumbai,895,522,2986,0.68,300,instagram,email,Mobile,Opera
2025-04-25,France,Paris,550,579,1893,0.49,242,tiktok,organic,Mobile,Brave
2025-04-25,India,Mumbai,377,510,1074,0.47,245,google,cpc,Desktop,Chrome
2025-04-25,Australia,Sydney,868,832,1023,0.58,148,linkedin,organic,Tablet,Firefox
2025-04-25,Canada,Toronto,948,887,2841,0.68,61,facebook,organic,Mobile,Safari
2025-04-25,France,Paris,565,342,2217,0.49,221,facebook,referral,Mobile,Firefox
2025-04-25,Brazil,São Paulo,468,370,2260,0.62,125,google,cpc,Mobile,Chrome
2025-04-24,USA,New York,890,343,1217,0.57,89,instagram,organic,Tablet,Chrome
2025-04-24,UK,London,393,626,2690,0.43,268,direct,cpc,Mobile,Safari
2025-04-24,South Africa,Cape Town,598,536,2278,0.49,197,facebook,organic,Desktop,Edge
2025-04-24,Germany,Berlin,333,625,2264,0.43,173,linkedin,email,Tablet,Edge
2025-04-24,Australia,Sydney,486,797,1699,0.36,222,email,referral,Desktop,Firefox
2025-04-24,USA,New York,619,709,1019,0.5,129,tiktok,email,Tablet,Firefox
2025-04-24,Germany,Berlin,991,791,2653,0.57,73,facebook,email,Mobile,Edge
2025-04-24,UK,London,988,836,2717,0.5,197,facebook,organic,Desktop,Safari
2025-04-24,India,Mumbai,767,561,2258,0.48,64,email,referral,Tablet,Edge
2025-04-24,France,Paris,797,300,1510,0.46,92,google,cpc,Tablet,Brave
2025-04-23,USA,New York,795,435,2373,0.51,127,instagram,social,Desktop,Safari
2025-04-23,USA,New York,532,372,2395,0.35,209,linkedin,referral,Desktop,Opera
2025-04-23,USA,New York,354,256,1170,0.47,286,email,cpc,Mobile,Edge
2025-04-23,India,Mumbai,667,790,2055,0.47,61,google,organic,Desktop,Safari
2025-04-23,Australia,Sydney,543,319,1581,0.65,96,email,organic,Desktop,Edge
2025-04-23,UK,London,537,875,1691,0.5,162,direct,organic,Desktop,Brave
2025-04-23,Germany,Berlin,396,764,1051,0.5,216,facebook,email,Desktop,Opera
2025-04-23,South Africa,Cape Town,973,537,2547,0.48,86,facebook,email,Desktop,Brave
2025-04-23,Brazil,São Paulo,704,690,2261,0.35,153,instagram,social,Mobile,Brave
2025-04-23,USA,Los Angeles,771,842,1031,0.64,291,instagram,email,Desktop,Safari
2025-04-22,India,Mumbai,843,591,1374,0.7,184,google,social,Desktop,Safari
2025-04-22,Germany,Berlin,994,264,1930,0.56,218,linkedin,cpc,Desktop,Safari
2025-04-22,France,Paris,763,773,1498,0.49,178,instagram,organic,Mobile,Safari
2025-04-22,USA,New York,365,517,1721,0.69,300,facebook,email,Mobile,Firefox
2025-04-22,India,Mumbai,517,671,1849,0.31,120,facebook,email,Mobile,Edge
2025-04-22,Australia,Sydney,321,363,2066,0.66,179,email,social,Tablet,Edge
2025-04-22,USA,Los Angeles,368,256,1311,0.6,82,email,cpc,Desktop,Safari
2025-04-22,Canada,Toronto,363,499,1349,0.62,209,tiktok,referral,Mobile,Opera
2025-04-22,South Africa,Cape Town,473,557,1282,0.58,239,linkedin,referral,Tablet,Firefox
2025-04-22,South Africa,Cape Town,982,773,2768,0.37,221,linkedin,social,Tablet,Edge
2025-04-21,UK,London,804,415,1008,0.31,258,direct,email,Mobile,Brave
2025-04-21,Germany,Berlin,676,723,1710,0.6,243,google,social,Mobile,Safari
2025-04-21,UK,London,313,866,2826,0.44,169,linkedin,referral,Desktop,Edge
2025-04-21,USA,New York,834,462,2707,0.5,291,facebook,organic,Tablet,Safari
2025-04-21,Brazil,São Paulo,720,891,2657,0.49,120,tiktok,referral,Mobile,Edge
2025-04-21,Germany,Berlin,590,447,2477,0.44,198,email,organic,Desktop,Edge
2025-04-21,USA,Los Angeles,535,474,2647,0.33,222,google,referral,Desktop,Edge
2025-04-21,France,Paris,987,504,2697,0.53,259,linkedin,cpc,Desktop,Opera
2025-04-21,UK,London,555,434,1559,0.42,134,tiktok,referral,Desktop,Opera
2025-04-21,France,Paris,864,384,2845,0.58,186,linkedin,cpc,Tablet,Safari
2025-04-20,France,Paris,651,505,1539,0.51,153,instagram,referral,Tablet,Edge
2025-04-20,Brazil,São Paulo,727,338,1127,0.33,174,facebook,email,Desktop,Safari
2025-04-20,Canada,Toronto,387,641,2430,0.62,62,tiktok,social,Desktop,Chrome
2025-04-20,USA,Los Angeles,399,397,1629,0.61,153,linkedin,organic,Mobile,Safari
2025-04-20,South Africa,Cape Town,318,285,1850,0.7,226,tiktok,organic,Mobile,Brave
2025-04-20,France,Paris,584,302,1098,0.37,297,tiktok,cpc,Tablet,Safari
2025-04-20,Australia,Sydney,614,292,2199,0.62,271,email,email,Mobile,Opera
2025-04-20,Australia,Sydney,816,678,1561,0.47,79,instagram,organic,Tablet,Opera
2025-04-20,Germany,Berlin,844,849,2475,0.53,244,google,email,Mobile,Firefox
2025-04-20,Germany,Berlin,351,659,2400,0.55,71,linkedin,social,Desktop,Firefox
2025-04-19,Germany,Berlin,592,800,2613,0.62,71,google,organic,Desktop,Chrome
2025-04-19,USA,New York,901,665,2779,0.34,228,facebook,organic,Mobile,Chrome
2025-04-19,UK,London,944,477,1558,0.45,119,instagram,referral,Tablet,Edge
2025-04-19,USA,Los Angeles,840,621,1321,0.43,292,google,referral,Desktop,Edge
2025-04-19,UK,London,494,729,1848,0.57,244,facebook,organic,Mobile,Safari
2025-04-19,India,Mumbai,929,286,2709,0.45,157,linkedin,referral,Mobile,Safari
2025-04-19,USA,New York,357,273,1352,0.63,200,google,email,Mobile,Brave
2025-04-19,Canada,Toronto,435,409,2448,0.68,188,tiktok,organic,Desktop,Safari
2025-04-19,Australia,Sydney,529,865,2348,0.4,122,instagram,email,Mobile,Edge
2025-04-19,Australia,Sydney,420,600,1817,0.68,251,email,email,Tablet,Chrome
2025-04-18,USA,New York,473,298,1106,0.31,220,email,social,Tablet,Safari
2025-04-18,Germany,Berlin,876,255,2299,0.48,65,facebook,organic,Desktop,Edge
2025-04-18,Canada,Toronto,380,766,2209,0.63,221,linkedin,organic,Mobile,Edge
2025-04-18,USA,New York,945,442,1757,0.33,132,google,social,Desktop,Chrome
2025-04-18,Germany,Berlin,689,680,1063,0.65,79,linkedin,referral,Mobile,Safari
2025-04-18,France,Paris,537,491,1640,0.61,156,direct,cpc,Desktop,Opera
2025-04-18,Canada,Toronto,998,408,2283,0.39,165,tiktok,cpc,Tablet,Chrome
2025-04-18,South Africa,Cape Town,565,858,2344,0.43,125,google,social,Desktop,Chrome
2025-04-18,India,Mumbai,806,484,1625,0.55,296,tiktok,email,Desktop,Brave
2025-04-18,France,Paris,485,527,1890,0.52,269,tiktok,social,Mobile,Opera
2025-04-17,Canada,Toronto,300,658,2881,0.41,212,linkedin,email,Tablet,Brave
2025-04-17,USA,New York,993,755,2979,0.54,233,tiktok,email,Mobile,Brave
2025-04-17,France,Paris,690,349,2404,0.3,128,instagram,cpc,Tablet,Chrome
2025-04-17,USA,Los Angeles,520,641,2443,0.53,101,instagram,cpc,Mobile,Firefox
2025-04-17,South Africa,Cape Town,478,350,2951,0.33,137,linkedin,referral,Tablet,Safari
2025-04-17,USA,New York,477,578,2134,0.57,242,direct,cpc,Mobile,Brave
2025-04-17,UK,London,622,726,2594,0.69,160,linkedin,referral,Tablet,Chrome
2025-04-17,Canada,Toronto,634,429,1483,0.33,166,tiktok,organic,Mobile,Firefox
2025-04-17,India,Mumbai,717,263,2198,0.32,89,tiktok,email,Mobile,Firefox
2025-04-17,USA,Los Angeles,442,887,1200,0.39,195,facebook,social,Mobile,Firefox
2025-04-16,UK,London,426,428,1121,0.63,207,email,social,Tablet,Safari
2025-04-16,Germany,Berlin,400,570,1569,0.56,271,linkedin,cpc,Desktop,Safari
2025-04-16,USA,Los Angeles,573,660,1687,0.56,74,linkedin,email,Mobile,Safari
2025-04-16,India,Mumbai,410,267,2892,0.46,82,direct,referral,Desktop,Edge
2025-04-16,India,Mumbai,792,501,2318,0.36,272,tiktok,email,Desktop,Safari
2025-04-16,Germany,Berlin,841,708,1310,0.48,103,tiktok,organic,Tablet,Opera
2025-04-16,Brazil,São Paulo,579,453,2245,0.42,128,google,email,Tablet,Brave
2025-04-16,Australia,Sydney,358,549,1051,0.38,254,email,organic,Desktop,Opera
2025-04-16,South Africa,Cape Town,961,287,1486,0.3,248,tiktok,cpc,Tablet,Chrome
2025-04-16,Germany,Berlin,324,622,1530,0.51,164,tiktok,cpc,Mobile,Opera
2025-04-15,India,Mumbai,552,802,2433,0.65,290,email,referral,Mobile,Safari
2025-04-15,Australia,Sydney,951,293,2892,0.55,157,instagram,referral,Desktop,Safari
2025-04-15,Australia,Sydney,456,592,2058,0.37,70,email,organic,Desktop,Edge
2025-04-15,UK,London,418,819,2053,0.41,76,facebook,referral,Mobile,Chrome
2025-04-15,India,Mumbai,482,645,2688,0.4,132,tiktok,organic,Tablet,Opera
2025-04-15,Germany,Berlin,486,870,2779,0.32,131,instagram,email,Tablet,Chrome
2025-04-15,Brazil,São Paulo,903,287,2203,0.48,67,linkedin,organic,Tablet,Brave
2025-04-15,France,Paris,588,494,2238,0.56,228,facebook,social,Mobile,Firefox
2025-04-15,USA,Los Angeles,512,857,1429,0.44,106,direct,email,Desktop,Chrome
2025-04-15,USA,Los Angeles,585,376,1066,0.45,107,linkedin,referral,Tablet,Safari
2025-04-14,USA,Los Angeles,763,491,1022,0.69,61,linkedin,email,Mobile,Firefox
2025-04-14,France,Paris,960,486,1202,0.54,203,google,social,Tablet,Opera
2025-04-14,Germany,Berlin,460,322,2284,0.53,92,tiktok,referral,Mobile,Chrome
2025-04-14,UK,London,966,382,1104,0.47,90,facebook,email,Tablet,Brave
2025-04-14,Brazil,São Paulo,764,360,1880,0.5,64,direct,email,Tablet,Brave
2025-04-14,UK,London,491,719,2597,0.6,162,google,email,Desktop,Opera
2025-04-14,France,Paris,905,739,2629,0.66,274,google,email,Desktop,Opera
2025-04-14,South Africa,Cape Town,413,717,2680,0.59,95,tiktok,organic,Mobile,Brave
2025-04-14,USA,New York,604,788,1249,0.52,229,direct,referral,Tablet,Opera
2025-04-14,UK,London,931,853,2077,0.47,217,direct,organic,Desktop,Edge
2025-04-13,Australia,Sydney,854,514,2701,0.34,113,email,email,Tablet,Firefox
2025-04-13,Germany,Berlin,784,573,2800,0.31,238,facebook,social,Tablet,Firefox
2025-04-13,South Africa,Cape Town,963,837,1939,0.6,210,google,email,Desktop,Safari
2025-04-13,Germany,Berlin,792,376,2561,0.59,140,linkedin,email,Mobile,Firefox
2025-04-13,Brazil,São Paulo,763,441,2541,0.6,167,email,email,Tablet,Safari
2025-04-13,Canada,Toronto,503,531,1780,0.32,161,direct,organic,Mobile,Opera
2025-04-13,USA,New York,480,264,1006,0.35,246,tiktok,email,Mobile,Brave
2025-04-13,UK,London,749,734,2653,0.62,85,google,referral,Desktop,Brave
2025-04-13,France,Paris,915,370,1939,0.66,243,direct,referral,Desktop,Edge
2025-04-13,India,Mumbai,458,559,2077,0.53,150,email,cpc,Mobile,Edge
2025-04-12,France,Paris,730,465,2793,0.3,93,facebook,organic,Mobile,Firefox
2025-04-12,South Africa,Cape Town,851,514,1030,0.43,283,linkedin,email,Mobile,Firefox
2025-04-12,USA,New York,545,523,1478,0.61,146,direct,cpc,Tablet,Brave
2025-04-12,Canada,Toronto,510,687,1813,0.47,297,linkedin,organic,Desktop,Brave
2025-04-12,UK,London,360,722,2525,0.43,226,direct,cpc,Mobile,Chrome
2025-04-12,USA,New York,681,327,1841,0.56,66,facebook,organic,Tablet,Opera
2025-04-12,Australia,Sydney,667,807,1243,0.66,260,google,cpc,Tablet,Edge
2025-04-12,Canada,Toronto,606,355,1867,0.54,187,google,organic,Desktop,Safari
2025-04-12,France,Paris,928,525,2024,0.36,147,direct,email,Mobile,Firefox
2025-04-12,USA,New York,954,292,1842,0.43,105,direct,organic,Desktop,Firefox
2025-04-11,Germany,Berlin,749,580,2896,0.5,111,direct,social,Mobile,Safari
2025-04-11,Brazil,São Paulo,698,646,2124,0.55,262,email,email,Desktop,Safari
2025-04-11,Australia,Sydney,504,811,2902,0.64,246,email,cpc,Mobile,Safari
2025-04-11,India,Mumbai,308,285,2428,0.31,83,google,social,Desktop,Opera
2025-04-11,UK,London,799,331,2723,0.52,98,instagram,referral,Mobile,Opera
2025-04-11,Germany,Berlin,862,660,1834,0.6,231,direct,email,Tablet,Edge
2025-04-11,Canada,Toronto,914,888,1737,0.55,174,instagram,social,Tablet,Opera
2025-04-11,India,Mumbai,534,702,1925,0.42,298,email,referral,Mobile,Edge
2025-04-11,USA,Los Angeles,640,302,2571,0.39,214,direct,social,Desktop,Opera
2025-04-11,Australia,Sydney,783,344,1730,0.53,83,direct,social,Tablet,Opera
2025-04-10,USA,Los Angeles,332,309,2975,0.44,176,facebook,referral,Desktop,Chrome
2025-04-10,Australia,Sydney,970,501,2192,0.43,253,instagram,social,Desktop,Brave
2025-04-10,India,Mumbai,657,487,2912,0.49,296,linkedin,email,Mobile,Brave
2025-04-10,Brazil,São Paulo,729,428,2701,0.63,279,direct,social,Mobile,Opera
2025-04-10,Brazil,São Paulo,648,584,1894,0.59,263,linkedin,organic,Mobile,Safari
2025-04-10,Brazil,São Paulo,739,680,1476,0.38,142,instagram,cpc,Tablet,Safari
2025-04-10,USA,New York,911,647,2126,0.41,191,instagram,email,Mobile,Brave
2025-04-10,France,Paris,437,746,2320,0.6,290,email,referral,Mobile,Brave
2025-04-10,USA,Los Angeles,508,736,1376,0.41,171,facebook,cpc,Mobile,Brave
2025-04-10,India,Mumbai,929,311,1791,0.42,84,facebook,referral,Desktop,Opera
2025-04-09,India,Mumbai,539,414,2485,0.35,180,google,social,Tablet,Firefox
2025-04-09,USA,Los Angeles,343,569,1153,0.36,174,tiktok,cpc,Desktop,Firefox
2025-04-09,Canada,Toronto,826,356,2694,0.53,290,google,social,Desktop,Brave
2025-04-09,USA,Los Angeles,762,623,1611,0.6,241,instagram,organic,Tablet,Edge
2025-04-09,USA,New York,469,509,2206,0.44,264,email,referral,Mobile,Safari
2025-04-09,USA,Los Angeles,368,359,1624,0.49,207,direct,email,Mobile,Edge
2025-04-09,India,Mumbai,697,409,2429,0.39,157,linkedin,organic,Tablet,Chrome
2025-04-09,UK,London,532,339,1511,0.6,67,linkedin,cpc,Tablet,Safari
2025-04-09,USA,New York,349,644,1363,0.49,246,instagram,social,Tablet,Chrome
2025-04-09,France,Paris,580,639,1767,0.66,185,google,cpc,Tablet,Chrome
2025-04-08,UK,London,708,374,2607,0.32,280,instagram,cpc,Tablet,Opera
2025-04-08,India,Mumbai,890,364,1803,0.69,109,linkedin,email,Mobile,Safari
2025-04-08,South Africa,Cape Town,435,258,1953,0.62,85,tiktok,cpc,Mobile,Firefox
2025-04-08,France,Paris,850,765,1756,0.38,127,email,email,Tablet,Firefox
2025-04-08,South Africa,Cape Town,358,692,1535,0.65,69,linkedin,email,Desktop,Firefox
2025-04-08,Australia,Sydney,550,275,2263,0.68,63,instagram,email,Desktop,Opera
2025-04-08,France,Paris,522,657,2760,0.36,178,email,social,Tablet,Brave
2025-04-08,Canada,Toronto,373,867,1546,0.63,186,email,organic,Mobile,Opera
2025-04-08,USA,Los Angeles,989,771,1983,0.63,299,instagram,cpc,Desktop,Safari
2025-04-08,Canada,Toronto,496,495,1034,0.31,293,facebook,email,Tablet,Firefox
2025-04-07,USA,Los Angeles,740,869,2681,0.52,238,instagram,cpc,Desktop,Firefox
2025-04-07,South Africa,Cape Town,836,436,1471,0.4,123,facebook,social,Mobile,Safari
2025-04-07,Germany,Berlin,713,773,2443,0.46,180,facebook,cpc,Tablet,Opera
2025-04-07,USA,New York,598,833,2670,0.42,145,direct,referral,Mobile,Opera
2025-04-07,Australia,Sydney,917,391,2288,0.67,144,linkedin,referral,Mobile,Safari
2025-04-07,Germany,Berlin,495,843,1678,0.36,93,facebook,social,Desktop,Opera
2025-04-07,India,Mumbai,937,736,2966,0.33,212,direct,social,Desktop,Opera
2025-04-07,France,Paris,604,305,1314,0.61,212,facebook,cpc,Mobile,Safari
2025-04-07,USA,Los Angeles,807,408,2811,0.53,81,email,organic,Desktop,Chrome
2025-04-07,UK,London,733,770,1624,0.34,277,facebook,social,Desktop,Opera
2025-04-06,USA,New York,522,707,2859,0.44,178,linkedin,cpc,Tablet,Firefox
2025-04-06,USA,Los Angeles,334,489,1766,0.41,71,facebook,organic,Mobile,Opera
2025-04-06,USA,New York,548,702,1497,0.38,238,email,referral,Mobile,Safari
2025-04-06,USA,New York,754,797,2575,0.47,294,linkedin,email,Mobile,Safari
2025-04-06,USA,New York,918,804,2614,0.3,159,email,referral,Mobile,Brave
2025-04-06,Brazil,São Paulo,916,717,2597,0.58,129,instagram,organic,Tablet,Edge
2025-04-06,USA,Los Angeles,541,517,1498,0.41,251,tiktok,social,Tablet,Chrome
2025-04-06,UK,London,673,417,1289,0.31,297,direct,referral,Tablet,Safari
2025-04-06,Australia,Sydney,549,764,1445,0.33,89,email,email,Tablet,Opera
2025-04-06,USA,Los Angeles,749,671,2373,0.64,145,google,referral,Mobile,Safari
2025-04-05,Germany,Berlin,720,768,1899,0.66,89,tiktok,referral,Tablet,Edge
2025-04-05,India,Mumbai,668,609,2414,0.52,75,facebook,organic,Tablet,Chrome
2025-04-05,Germany,Berlin,948,260,1971,0.6,172,direct,organic,Tablet,Chrome
2025-04-05,Germany,Berlin,455,588,1400,0.55,78,email,cpc,Desktop,Safari
2025-04-05,USA,Los Angeles,486,723,2887,0.38,249,direct,referral,Tablet,Opera
2025-04-05,USA,Los Angeles,711,795,1140,0.53,103,direct,organic,Desktop,Firefox
2025-04-05,Australia,Sydney,669,644,1214,0.67,70,google,email,Tablet,Opera
2025-04-05,South Africa,Cape Town,399,653,2279,0.32,149,direct,organic,Tablet,Edge
2025-04-05,Australia,Sydney,991,523,1588,0.57,116,tiktok,email,Mobile,Edge
2025-04-05,South Africa,Cape Town,688,669,2176,0.36,275,instagram,email,Desktop,Chrome
2025-04-04,USA,Los Angeles,723,521,2745,0.47,281,linkedin,cpc,Mobile,Safari
2025-04-04,India,Mumbai,838,855,1982,0.63,218,linkedin,referral,Mobile,Safari
2025-04-04,India,Mumbai,497,812,1422,0.55,83,google,social,Mobile,Opera
2025-04-04,South Africa,Cape Town,748,270,2273,0.33,109,facebook,email,Tablet,Edge
2025-04-04,Canada,Toronto,444,686,2123,0.62,200,facebook,cpc,Desktop,Chrome
2025-04-04,Germany,Berlin,974,826,1292,0.69,269,instagram,cpc,Tablet,Firefox
2025-04-04,France,Paris,513,758,1403,0.43,217,facebook,cpc,Tablet,Safari
2025-04-04,India,Mumbai,310,359,1524,0.64,76,email,email,Tablet,Opera
2025-04-04,Germany,Berlin,767,883,1944,0.36,231,google,cpc,Mobile,Safari
2025-04-04,France,Paris,529,500,1759,0.51,104,facebook,referral,Desktop,Chrome
2025-04-03,Australia,Sydney,748,812,2231,0.54,152,google,social,Mobile,Edge
2025-04-03,UK,London,625,295,1171,0.4,247,tiktok,social,Desktop,Chrome
2025-04-03,Canada,Toronto,954,634,2195,0.51,292,direct,social,Tablet,Firefox
2025-04-03,Australia,Sydney,594,733,1299,0.4,224,tiktok,referral,Mobile,Chrome
